"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Malcolm Brogdon,,6.5,5.8,4.2,4.1,4.0,2.7,2.7,2.6,0.7,,,
Mario Chalmers,88.8,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,,,
Charlie Ward,88.7,7.1,5.5,3.9,3.7,3.6,3.1,2.9,1.9,1.0,0.5,-0.2,
Luke Ridnour,88.0,6.2,5.4,4.4,4.3,4.0,3.4,3.3,2.3,1.2,0.9,0.6,0.1
Spencer Dinwiddie,87.8,6.3,5.7,4.8,4.8,4.1,3.7,3.6,2.8,0.1,0.1,0.1,
Tyus Jones,87.5,5.7,5.1,4.5,4.4,3.6,3.0,3.0,2.8,1.5,0.3,,
Brandon Jennings,87.3,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1,,,
Sherman Douglas,86.8,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,0.6,0.2,-0.1
Jim Barnett,86.6,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0.0,
Mike Woodson,86.5,7.8,5.7,4.2,4.2,4.0,3.5,3.1,0.9,0.9,0.7,-0.2,
Allen Leavell,86.3,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1,,
