"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Julius Randle,,8.1,7.8,6.6,6.2,6.1,3.8,3.5,3.1,2.7,1.6,-0.1,,,,
Dwight Powell,91.8,8.2,7.5,6.6,5.1,4.6,3.8,3.6,3.1,3.1,1.7,0.6,,,,
Truck Robinson,90.7,7.6,7.3,6.9,6.5,6.0,5.1,4.3,3.3,3.2,2.7,-0.1,,,,
Mike Mitchell,89.8,8.3,7.6,6.0,6.0,5.9,5.5,4.4,3.6,2.4,0.4,,,,,
Greg Ballard,89.2,9.4,7.9,6.9,6.9,6.0,5.6,3.9,3.6,2.0,1.7,0.0,,,,
Troy Murphy,88.7,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3,0.3,,,
Frank Ramsey,88.4,10.0,7.3,6.5,5.9,5.3,4.0,3.6,3.3,3.2,,,,,,
Dave Greenwood,88.3,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2.0,1.7,1.1,0.4,,,
Wally Szczerbiak,88.3,8.7,8.0,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,,,,,
Ryan Anderson,87.8,8.9,6.5,6.4,5.2,4.8,3.9,3.5,3.1,2.5,2.3,0.0,-0.2,,,
Bo Outlaw,87.6,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,1.2,0.7,0.2,0.0
