Season,Team,Lg,Salary
2022-23,San Antonio Spurs,NBA,"$5,063,520"
2023-24,San Antonio Spurs,NBA,"$5,316,960"
2024-25,San Antonio Spurs,NBA,"$5,570,040"
Career,(may be incomplete),,"$15,950,520"
