"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Brook Lopez,,9.0,8.0,7.9,7.0,6.7,6.6,6.3,6.2,5.9,5.8,5.5,5.3,4.9,3.8,2.3,0.7,0.3,
Vlade Divac,92.4,9.5,8.3,7.4,7.4,7.3,7.3,7.2,7.0,6.1,5.9,5.6,5.3,5.2,5.0,1.8,0.0,,
Jonas ValanÄiÅ«nas,88.4,8.2,7.9,7.8,7.6,7.3,7.1,7.0,6.9,6.7,5.8,4.3,4.2,3.9,,,,,
Nikola VuÄeviÄ,87.5,10.1,8.3,7.3,7.0,6.4,6.3,5.7,5.4,5.2,4.5,4.4,4.0,3.6,1.8,,,,
Marcus Camby,86.6,10.3,8.5,7.6,6.9,6.8,5.9,5.8,5.5,5.2,3.7,3.7,3.6,3.5,2.1,1.5,0.9,0.0,
Nate Thurmond,84.1,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5,2.4,2.3,,,,
Alvan Adams,83.0,7.7,7.6,7.2,7.2,7.0,6.8,6.5,6.3,4.9,3.9,3.3,2.8,2.2,,,,,
Al Horford,78.9,10.9,10.1,9.4,8.8,8.7,7.8,7.6,7.5,6.8,6.3,6.3,6.2,5.5,5.4,4.4,2.8,1.6,1.3
Al Jefferson,78.8,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3,2.3,1.6,,,,
Marc Gasol,78.0,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6.0,5.6,4.0,3.7,3.0,2.8,,,,,
Billy Paultz,75.6,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.1,5.0,4.0,2.7,0.3,0.3,0.1,0.0,,,
