"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2020-21,28,MIL,NBA,ECS,BRK,W (4-3),7,3.4,0.7,0.6,0.3,0.1,0.3,0,2,.000,0,0,0,2,.000,.000,5,6,.833,1,3,4,2,1,2,2,6,5,
2020-21,28,MIL,NBA,ECF,ATL,W (4-2),5,3.8,0.8,0.6,0.2,0.8,0.0,2,3,.667,0,0,2,3,.667,.667,0,0,,1,2,3,1,4,0,1,5,4,
2020-21,28,MIL,NBA,FIN,PHO,W (4-2),1,2.0,0.0,3.0,0.0,0.0,0.0,0,2,.000,0,0,0,2,.000,.000,0,0,,1,2,3,0,0,0,0,1,0,
2021-22,29,MIL,NBA,EC1,CHI,W (4-1),3,4.3,1.3,0.7,0.3,0.3,0.0,2,3,.667,0,0,2,3,.667,.667,0,1,.000,0,2,2,1,1,0,0,3,4,
2021-22,29,MIL,NBA,ECS,BOS,L (3-4),5,1.4,0.2,0.4,0.0,0.0,0.0,0,0,,0,0,0,0,,,1,2,.500,1,1,2,0,0,0,0,1,1,
2022-23,30,MIL,NBA,EC1,MIA,L (1-4),2,2.5,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
2023-24,31,MIL,NBA,EC1,IND,L (2-4),2,2.5,0.0,0.0,0.0,0.5,0.5,0,0,,0,0,0,0,,,0,0,,0,0,0,0,1,1,0,1,0,
2024-25,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
4 Yrs (7 Series),4 Yrs (7 Series),4 Yrs (7 Series),4 Yrs (7 Series),4 Yrs (7 Series),4 Yrs (7 Series),4-3,25,3.0,0.6,0.6,0.2,0.3,0.1,4,10,.400,0,0,4,10,.400,.400,6,9,.667,4,10,14,4,7,3,3,17,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),1-2,7,3.3,0.6,0.3,0.1,0.3,0.1,2,3,.667,0,0,2,3,.667,.667,0,1,.000,0,2,2,1,2,1,0,4,4,
ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),1-1,12,2.6,0.5,0.5,0.2,0.1,0.2,0,2,.000,0,0,0,2,.000,.000,6,8,.750,2,4,6,2,1,2,2,7,6,
ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),1-0,5,3.8,0.8,0.6,0.2,0.8,0.0,2,3,.667,0,0,2,3,.667,.667,0,0,,1,2,3,1,4,0,1,5,4,
FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),1-0,1,2.0,0.0,3.0,0.0,0.0,0.0,0,2,.000,0,0,0,2,.000,.000,0,0,,1,2,3,0,0,0,0,1,0,
