"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Thanasis Antetokounmpo,,0.9,0.7,0.2,0.1,0.0,0.0
Antonio Lang,85.1,0.8,0.7,0.1,0.1,0.0,-0.1
Ronald Dupree,79.4,1.0,0.5,0.3,0.1,0.0,0.0
Mark Hendrickson,79.3,0.9,0.8,0.3,0.1,,
Shavlik Randolph,79.1,1.1,0.7,0.4,0.0,0.0,0.0
Nathan Knight,78.9,1.0,0.7,0.4,,,
Tyler Cook,77.2,0.8,0.5,0.2,,,
Joe Holland,75.0,1.2,0.6,0.2,,,
Cal Bowdler,74.3,1.0,0.5,0.2,,,
Bob Peterson,72.8,0.9,0.4,0.2,,,
James Wilkes,72.5,1.1,0.8,0.1,,,
