"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Shai Gilgeous-Alexander,,16.7,14.6,11.4,6.1,4.6,3.5,3.3
Tracy McGrady,85.7,16.1,12.2,11.5,8.4,6.6,3.3,2.0
Tiny Archibald,85.6,14.2,12.9,11.2,8.0,5.1,2.8,2.3
Stephen Curry,80.7,17.9,15.7,13.4,11.2,6.6,4.7,2.2
Kobe Bryant,79.9,14.9,12.7,11.3,10.6,6.3,5.2,1.8
Dwyane Wade,79.4,14.7,14.4,13.0,11.0,8.8,4.6,3.3
Gilbert Arenas,77.9,13.6,11.5,10.8,6.5,2.7,2.6,0.6
Vince Carter,77.4,12.9,11.8,9.4,7.0,6.0,5.0,4.2
Gary Payton,77.4,12.9,11.7,11.5,9.3,7.8,3.9,3.4
David Thompson,76.7,12.7,12.4,10.7,9.5,6.4,3.0,2.0
John Stockton,76.6,15.6,14.4,14.1,14.0,6.7,5.9,3.1
