Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2022-23,24.0,OKC,NBA,PG,1,0,10:05,4,5,0.8,1,1,1.0,0,0,,2,2,7,0,0,0,0,9
2023-24,25.0,OKC,NBA,PG,1,1,27:33,12,16,0.75,7,10,0.7,0,0,,2,4,6,1,0,0,0,31
2024-25,26.0,OKC,NBA,PG,1,1,7:10,5,5,1.0,2,2,1.0,0,0,,0,2,1,0,1,0,1,12
2024-25,26.0,OKC,NBA,PG,1,1,6:02,1,4,0.25,1,3,0.333,1,2,0.5,1,1,0,0,0,1,0,4
Career,,,NBA,,4,3,51,22,30,0.733,11,16,0.688,1,2,0.5,5,9,14,1,1,1,1,56
