"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dont̩ Greene,,1.5,0.7,0.5,-1.1
Marcus Fizer,57.4,1.4,1.1,0.5,-0.7
Anthony Avent,53.9,1.5,0.4,0.3,-1.2
Gary Gregor,49.5,1.4,1.1,0.5,-0.4
Chimezie Metu,48.9,1.5,0.6,0.3,-0.3
Darius Bazley,46.5,1.8,1.0,1.0,-0.9
Lonny Baxter,45.2,1.5,0.9,0.7,-0.2
Reggie Slater,44.5,1.5,0.8,0.4,-0.1
Calvin Garrett,44.2,1.4,0.6,0.6,0.0
Art Spector,43.6,1.4,1.0,0.6,-0.2
Harry Giles,41.3,1.6,1.0,0.5,0.1
