Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,22,HOU,NBA,SF,2,0,16,2.3,9.0,0.25,2.3,9.0,0.25,0.0,0.0,0.375,0.0,0.0,2.3,2.3,4.5,0.0,0.0,0.0,0.0,0.0,6.8,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,16,2.3,9.0,0.25,2.3,9.0,0.25,0.0,0.0,0.375,0.0,0.0,2.3,2.3,4.5,0.0,0.0,0.0,0.0,0.0,6.8,
