"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
OG Anunoby,,6.5,5.7,4.7,3.7,3.1,3.0,2.6,2.0
Royce O'Neale,91.2,5.6,5.5,4.3,3.4,3.3,2.9,2.8,2.4
Juwan Howard,89.6,7.0,5.6,4.9,4.6,4.4,2.8,2.8,1.9
Harvey Grant,89.2,6.7,5.0,4.3,4.0,4.0,3.9,2.6,1.7
Lauri Markkanen,88.8,8.2,6.2,5.0,3.3,3.0,2.7,2.6,2.2
Ruben Patterson,88.6,6.7,5.6,5.5,3.4,3.2,3.0,2.1,0.2
Antoine Walker,88.6,6.7,6.6,5.0,4.8,3.9,2.6,2.6,1.7
Junior Bridgeman,88.2,6.7,6.1,5.5,4.8,4.0,3.6,2.6,2.1
Darnell Hillman,88.1,6.2,4.4,4.2,3.8,3.3,3.2,3.2,2.6
Ray Scott,88.1,5.5,5.3,4.5,3.5,3.4,2.5,2.4,1.3
Clyde Lee,87.9,6.1,5.1,3.5,3.4,3.1,2.6,2.2,2.1
