"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2003-04,23,HOU,NBA,WC1,LAL,L (1-4),5,37.6,15.0,7.4,1.8,0.4,1.4,31,68,.456,0,0,31,68,.456,.456,13,17,.765,11,26,37,9,2,7,13,20,75,
2004-05,24,HOU,NBA,WC1,DAL,L (3-4),7,31.9,21.4,7.7,0.7,0.3,2.7,55,84,.655,0,0,55,84,.655,.655,40,55,.727,23,31,54,5,2,19,19,31,150,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,26,HOU,NBA,WC1,UTA,L (3-4),7,37.1,25.1,10.3,0.9,0.1,0.7,55,125,.440,0,0,55,125,.440,.440,66,75,.880,23,49,72,6,1,5,33,27,176,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,28,HOU,NBA,WC1,POR,W (4-2),6,36.0,15.8,10.7,0.8,0.3,1.2,36,64,.563,0,0,36,64,.563,.563,23,25,.920,9,55,64,5,2,7,9,17,95,
2008-09,28,HOU,NBA,WCS,LAL,L (3-4),3,35.7,19.7,11.3,1.3,0.7,1.3,18,35,.514,0,0,18,35,.514,.514,23,26,.885,10,24,34,4,2,4,8,10,59,
2009-10,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
4 Yrs (5 Series),4 Yrs (5 Series),4 Yrs (5 Series),4 Yrs (5 Series),4 Yrs (5 Series),4 Yrs (5 Series),1-4,28,35.5,19.8,9.3,1.0,0.3,1.5,195,376,.519,0,0,195,376,.519,.519,165,198,.833,76,185,261,29,9,42,82,105,555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (4 Series),WC1 (4 Series),WC1 (4 Series),WC1 (4 Series),WC1 (4 Series),WC1 (4 Series),1-3,25,35.5,19.8,9.1,1.0,0.3,1.5,177,341,.519,0,0,177,341,.519,.519,142,172,.826,66,161,227,25,7,38,74,95,496,
WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),0-1,3,35.7,19.7,11.3,1.3,0.7,1.3,18,35,.514,0,0,18,35,.514,.514,23,26,.885,10,24,34,4,2,4,8,10,59,
