"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Ante Å½iÅ¾iÄ,,2.0,1.0,0.5
Henry Walker,95.6,1.9,1.1,0.5
Hank Whitney,92.3,1.8,1.1,0.5
Noah Vonleh,91.8,1.8,1.2,0.5
Byron Houston,91.2,1.8,0.9,0.5
Billy Schaeffer,90.3,1.9,0.8,0.5
Paul Silas,89.6,1.8,1.2,0.5
Cliff Meely,89.5,1.8,1.2,0.4
Jalen McDaniels,89.3,1.7,1.2,0.5
Nassir Little,88.9,1.7,1.1,0.6
Jud Buechler,88.4,1.8,1.2,0.4
