"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2016-17,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2017-18,21,CLE,NBA,EC1,IND,W (4-3),1,4.0,2.0,0.0,0.0,0.0,0.0,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,1,0,2,
2017-18,21,CLE,NBA,ECS,TOR,W (4-0),1,3.0,0.0,1.0,0.0,0.0,0.0,0,3,.000,0,0,0,3,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,
2017-18,21,CLE,NBA,ECF,BOS,W (4-3),3,3.3,1.7,1.3,0.3,0.0,0.3,1,3,.333,0,0,1,3,.333,.333,3,6,.500,0,4,4,1,0,1,1,0,5,
2017-18,21,CLE,NBA,FIN,GSW,L (0-4),3,1.7,2.0,0.3,0.0,0.0,0.0,3,3,1.000,0,0,3,3,1.000,1.000,0,0,,1,0,1,0,0,0,0,2,6,
1 Yr (4 Series),1 Yr (4 Series),1 Yr (4 Series),1 Yr (4 Series),1 Yr (4 Series),1 Yr (4 Series),3-1,8,2.8,1.6,0.8,0.1,0.0,0.1,5,10,.500,0,0,5,10,.500,.500,3,6,.500,1,5,6,1,0,1,2,2,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),1-0,1,4.0,2.0,0.0,0.0,0.0,0.0,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,1,0,2,
ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),1-0,1,3.0,0.0,1.0,0.0,0.0,0.0,0,3,.000,0,0,0,3,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,
ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),1-0,3,3.3,1.7,1.3,0.3,0.0,0.3,1,3,.333,0,0,1,3,.333,.333,3,6,.500,0,4,4,1,0,1,1,0,5,
FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),0-1,3,1.7,2.0,0.3,0.0,0.0,0.0,3,3,1.000,0,0,3,3,1.000,1.000,0,0,,1,0,1,0,0,0,0,2,6,
