Season,Age,Team,Lg,Pos,G,GS,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2018-19,28,IND,NBA,C,1.0,0.0,2.0,-27.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.1,0.0,0.0,0.0,-0.712,-35.8,-3.7,-39.6,0.0,
2019-20,29,PHI,NBA,C,1.0,0.0,6.0,-19.7,0.0,18.4,9.0,24.1,0.0,0.0,100.0,14.5,-0.1,0.0,-0.1,-0.419,-27.0,0.9,-26.1,0.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,2.0,0.0,8.0,-21.6,0.0,13.8,6.7,18.0,0.0,0.0,100.0,16.7,-0.1,0.0,-0.1,-0.492,-29.2,-0.2,-29.4,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,328.0,-21.6,0.0,13.8,6.7,18.0,0.0,0.0,100.0,16.7,-3.4,0.0,-3.4,-0.492,-29.2,-0.2,-29.4,-2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,1.0,0.0,2.0,-27.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.1,0.0,0.0,0.0,-0.712,-35.8,-3.7,-39.6,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,1.0,0.0,6.0,-19.7,0.0,18.4,9.0,24.1,0.0,0.0,100.0,14.5,-0.1,0.0,-0.1,-0.419,-27.0,0.9,-26.1,0.0,
