Season,Age,Team,Lg,Pos,G,GS,MP,Awards
2018-19,28,IND,NBA,C,1.0,0.0,2.0,
2019-20,29,PHI,NBA,C,1.0,0.0,6.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,2.0,0.0,8.0,
,,,,,,,,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,1.0,0.0,2.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,1.0,0.0,6.0,
