"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Abdel Nader,,1.3,0.9,0.7,0.0,-0.1
Lonny Baxter,83.8,1.5,0.9,0.7,-0.2,
Gary Clark,83.5,1.2,1.0,0.7,0.1,
Art Spector,83.5,1.4,1.0,0.6,-0.2,
Calvin Garrett,81.5,1.4,0.6,0.6,0.0,
Dominick Barlow,81.3,1.1,1.0,0.7,,
Chris Johnson,78.3,1.4,1.1,0.8,0.2,
Bo Ellis,77.6,1.1,0.9,0.5,,
Harry Giles,77.5,1.6,1.0,0.5,0.1,
Yi Jianlian,76.8,1.3,0.7,0.7,0.4,0.0
Fred Saunders,76.1,1.3,1.2,0.5,0.1,
