Season,Team,Lg,Salary
2011-12,Phoenix Suns,NBA,"$1,919,160"
2012-13,Phoenix Suns,NBA,"$2,063,040"
2013-14,Phoenix Suns,NBA,"$2,091,840"
2014-15,Phoenix Suns,NBA,"$2,989,239"
2015-16,Washington Wizards,NBA,"$8,000,000"
2016-17,Washington Wizards,NBA,"$7,400,000"
2017-18,Washington Wizards,NBA,"$8,000,000"
2018-19,New Orleans Pelicans,NBA,"$8,600,000"
2018-19,Oklahoma City Thunder,NBA,"$573,295"
2019-20,Detroit Pistons,NBA,"$2,241,808"
2019-20,Los Angeles Lakers,NBA,"$1,750,000"
2020-21,Los Angeles Lakers,NBA,"$1,620,564"
2021-22,Miami Heat,NBA,"$2,641,691"
2022-23,Dallas Mavericks,NBA,"$1,836,090"
2023-24,Dallas Mavericks,NBA,"$2,019,706"
2024-25,Los Angeles Lakers,NBA,"$2,087,519"
Career,(may be incomplete),,"$55,833,952"
