Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2010-11,22,MIA,NBA,C,2.0,0.0,5.5,0.5,1.5,0.333,0.0,0.0,0.5,1.5,0.333,0.333,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,1.0,1.0,1.0,
2011-12,23,MIA,NBA,C,35.0,6.0,8.6,1.3,2.7,0.468,0.0,0.0,1.3,2.7,0.468,0.468,0.5,0.8,0.643,0.8,1.3,2.0,0.3,0.2,0.2,0.5,2.1,3.0,
2012-13,24,2TM,NBA,C,11.0,0.0,2.9,0.4,1.0,0.364,0.0,0.0,0.4,1.0,0.364,0.364,0.0,0.3,0.0,0.6,0.5,1.1,0.0,0.0,0.0,0.3,0.7,0.7,
2012-13,24,MIA,NBA,C,4.0,0.0,3.0,0.8,1.3,0.6,0.0,0.0,0.8,1.3,0.6,0.6,0.0,0.0,,1.0,0.8,1.8,0.0,0.0,0.0,0.5,1.0,1.5,
2012-13,24,MEM,NBA,C,7.0,0.0,2.9,0.1,0.9,0.167,0.0,0.0,0.1,0.9,0.167,0.167,0.0,0.4,0.0,0.4,0.3,0.7,0.0,0.0,0.0,0.1,0.6,0.3,
2013-14,25,ATL,NBA,C,2.0,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,50.0,6.0,6.9,1.0,2.2,0.45,0.0,0.0,1.0,2.2,0.45,0.45,0.4,0.7,0.545,0.8,1.0,1.8,0.2,0.2,0.2,0.4,1.7,2.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,41.0,6.0,7.9,1.2,2.5,0.471,0.0,0.0,1.2,2.5,0.471,0.471,0.4,0.7,0.643,0.8,1.2,2.0,0.2,0.2,0.2,0.5,1.9,2.8,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,7.0,0.0,2.9,0.1,0.9,0.167,0.0,0.0,0.1,0.9,0.167,0.167,0.0,0.4,0.0,0.4,0.3,0.7,0.0,0.0,0.0,0.1,0.6,0.3,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,2.0,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,
