0
Career 3447 (91st)
Career NBA 3447 (91st)
Career Playoffs 320 (96th)
Career NBA Playoffs 320 (95th)
Career (Reg+Playoffs) 3767 (91st)
Career NBA (Reg+Playoffs) 3767 (91st)
