Season,Team,Lg,Salary
2011-12,Charlotte Bobcats,NBA,"$2,356,320"
2012-13,Charlotte Bobcats,NBA,"$2,532,960"
2013-14,Charlotte Bobcats,NBA,"$2,568,360"
2014-15,Charlotte Hornets,NBA,"$3,272,091"
2015-16,Charlotte Hornets,NBA,"$12,000,000"
2016-17,Charlotte Hornets,NBA,"$12,000,000"
2017-18,Charlotte Hornets,NBA,"$12,000,000"
2018-19,Charlotte Hornets,NBA,"$12,000,000"
2019-20,Boston Celtics,NBA,"$32,742,000"
2020-21,Boston Celtics,NBA,"$34,379,100"
2021-22,Oklahoma City Thunder,NBA,"$26,238,422"
2021-22,New York Knicks,NBA,"$8,729,020"
2022-23,Oklahoma City Thunder,NBA,"$27,431,078"
2022-23,Detroit Pistons,NBA,"$9,165,471"
2022-23,Dallas Mavericks,NBA,"$684,712"
Career,(may be incomplete),,"$198,099,534"
