"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Dalen Terry,,1.1,0.8,0.5
Si Green,95.9,1.0,0.8,0.4
Malachi Flynn,95.3,1.0,0.8,0.5
Sasha PavloviÄ,91.9,0.9,0.8,0.5
Jimmer Fredette,91.8,1.1,0.8,0.3
Mike D'Antoni,85.8,1.0,0.8,0.3
A.J. Price,85.3,1.2,0.7,0.3
Lindy Waters III,85.1,1.1,0.9,0.8
MarShon Brooks,83.8,1.3,0.8,0.4
Rodney Buford,83.7,0.8,0.8,0.6
Salim Stoudamire,83.1,1.2,0.8,0.3
