"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2005-06,20,LAC,NBA,PG,12.0,0.0,332.0,0.474,8.6,0.987,0.421,0.158,0.132,0.276,0.013,0.467,0.625,0.25,0.3,0.429,1.0,0.4,0.0,0.092,7.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,28,BRK,NBA,PG,12.0,10.0,325.0,0.512,8.8,0.988,0.302,0.291,0.267,0.128,0.012,0.506,0.615,0.48,0.478,0.364,1.0,0.349,0.0,0.081,6.0,0.0,0.0,0.0,
2014-15,29,GSW,NBA,PG,21.0,0.0,375.0,0.532,8.0,0.987,0.418,0.152,0.367,0.051,0.013,0.538,0.788,0.5,0.31,0.25,0.0,0.5,,0.165,12.0,0.0,1.0,0.0,
2015-16,30,GSW,NBA,PG,24.0,7.0,514.0,0.488,10.1,0.994,0.232,0.185,0.5,0.077,0.006,0.491,0.59,0.548,0.429,0.462,0.0,0.463,,0.101,15.0,0.0,1.0,0.0,
2016-17,31,GSW,NBA,PG,14.0,0.0,220.0,0.576,9.2,1.0,0.271,0.153,0.475,0.102,0.0,0.576,0.875,0.667,0.393,0.5,,0.559,,0.203,12.0,,0.0,0.0,
2017-18,32,GSW,NBA,PG,21.0,0.0,362.0,0.536,9.0,0.991,0.309,0.127,0.482,0.073,0.009,0.541,0.882,0.286,0.396,0.5,0.0,0.678,,0.173,18.0,0.0,1.0,0.0,
2018-19,33,GSW,NBA,PG,22.0,2.0,322.0,0.453,10.1,0.973,0.293,0.173,0.4,0.107,0.027,0.466,0.682,0.538,0.3,0.375,0.0,0.765,,0.133,9.0,0.0,2.0,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,126.0,19.0,2450.0,0.507,9.1,0.989,0.309,0.178,0.394,0.109,0.011,0.509,0.713,0.474,0.389,0.423,0.286,0.526,0.0,0.13,79.0,0.0,5.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,12.0,1594.0,0.507,9.1,0.989,0.309,0.178,0.394,0.109,0.011,0.509,0.713,0.474,0.389,0.423,0.286,0.526,0.0,0.13,51.0,0.0,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSW (5 Yrs),GSW (5 Yrs),GSW (5 Yrs),GSW (5 Yrs),,102.0,9.0,1793.0,0.511,9.3,0.99,0.293,0.161,0.456,0.079,0.01,0.516,0.75,0.506,0.384,0.436,0.0,0.574,,0.145,66.0,0.0,5.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,12.0,0.0,332.0,0.474,8.6,0.987,0.421,0.158,0.132,0.276,0.013,0.467,0.625,0.25,0.3,0.429,1.0,0.4,0.0,0.092,7.0,0.0,0.0,0.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,12.0,10.0,325.0,0.512,8.8,0.988,0.302,0.291,0.267,0.128,0.012,0.506,0.615,0.48,0.478,0.364,1.0,0.349,0.0,0.081,6.0,0.0,0.0,0.0,
