"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Kyle O'Quinn,,4.8,3.9,2.5,1.6,1.6,1.4,1.1,1.0,,,
Glen Davis,92.6,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,
David Benoit,88.7,4.6,3.9,2.3,2.0,1.6,1.6,0.7,,,,
Andrea Bargnani,87.9,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,
Donald Royal,85.8,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,,
Derek Strong,85.5,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0.0,
Michael Beasley,83.7,4.6,3.4,2.4,1.8,1.7,1.6,1.0,0.5,0.2,-0.1,-1.5
Travis Outlaw,83.7,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0.0,-0.1
Tony Campbell,83.5,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
Lamond Murray,83.0,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3
Etan Thomas,82.1,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,,
