"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Evan Turner,,4.0,2.6,2.5,2.4,2.3,2.1,2.0,1.4,1.2,-0.3
Jerryd Bayless,90.5,4.0,2.7,2.4,2.4,2.4,2.0,1.6,1.1,0.3,-0.1
C.J. Miles,88.0,3.6,2.9,2.6,2.5,2.5,1.9,1.9,1.5,0.3,-0.5
Earl Watson,87.7,2.9,2.7,2.6,2.3,2.3,2.0,1.8,1.5,1.0,-0.2
Scott Brooks,83.0,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1.0,0.7
Danny Young,83.0,4.8,3.0,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1
Jordan Clarkson,82.4,4.2,3.5,3.4,3.0,2.4,2.1,1.8,1.7,1.2,0.2
Tony Snell,82.3,3.4,3.2,2.6,2.4,2.4,2.0,1.6,0.4,0.4,
Caris LeVert,81.2,4.4,4.0,3.6,2.4,2.3,2.2,1.8,1.7,1.5,
J.J. Barea,80.1,3.2,2.8,2.7,2.2,2.2,1.9,1.2,0.7,0.5,0.1
Torrey Craig,80.1,4.0,3.0,2.3,2.2,2.0,1.9,0.9,0.8,,
