Season,Team,Lg,Salary
2015-16,Oklahoma City Thunder,NBA,"$2,021,520"
2016-17,Chicago Bulls,NBA,"$2,112,480"
2017-18,Chicago Bulls,NBA,"$2,203,440"
2018-19,Chicago Bulls,NBA,"$3,263,295"
2018-19,Cleveland Cavaliers,NBA,"$177,062"
2019-20,Phoenix Suns,NBA,"$196,288"
2019-20,Toronto Raptors,NBA,"$150,000"
2020-21,Phoenix Suns,NBA,"$1,977,011"
2021-22,Phoenix Suns,NBA,"$6,500,000"
2022-23,Phoenix Suns,NBA,"$6,000,000"
2023-24,San Antonio Spurs,NBA,"$6,500,000"
2023-24,Philadelphia 76ers,NBA,"$2,019,706"
2024-25,New York Knicks,NBA,"$2,087,519"
Career,(may be incomplete),,"$35,208,321"
