"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jonathan Kuminga,,4.6,3.0,2.4,1.9,,
Frank Card,91.3,4.2,2.6,2.4,1.9,0.1,
Reggie Johnson,90.9,3.9,3.0,2.4,1.6,,
Dave Meyers,88.3,5.0,3.9,2.4,2.2,,
Eddie Griffin,88.1,3.9,3.2,2.4,1.5,-0.2,
Jalen Smith,87.3,4.0,2.9,2.8,2.3,0.1,
Collis Jones,86.8,4.2,3.2,2.1,1.2,,
Derrek Dickey,86.6,3.8,3.1,2.3,1.7,0.3,
Richard Washington,85.5,3.9,3.2,2.1,2.0,0.0,-0.5
Marv Roberts,84.0,4.3,3.4,2.4,1.2,0.4,-0.2
Bob Doll,83.7,4.0,2.8,1.8,1.6,,
