"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Alperen ÅengÃ¼n,,8.3,6.9,5.2,2.1,,,,,,,,
Bob Rule,91.0,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0,,,,
Don Otten,90.8,8.5,5.8,4.9,1.7,,,,,,,,
Gheorghe MureÈan,81.2,8.0,5.3,4.1,1.3,0.3,-0.1,,,,,,
Mike Lewis,80.4,7.9,7.5,4.0,3.8,1.1,0.0,,,,,,
Nic Claxton,78.0,9.2,6.7,4.3,3.5,1.9,0.5,,,,,,
Nikola PekoviÄ,76.3,6.7,5.9,4.5,1.2,0.6,-0.1,,,,,,
Ralph Sampson,74.6,6.2,6.0,5.0,2.2,1.1,0.6,-0.2,-0.3,-0.6,,,
Steve Stipanovich,72.8,9.0,6.9,5.9,5.0,3.6,,,,,,,
Jamaal Magloire,72.7,7.6,6.7,5.7,2.6,2.0,1.3,1.1,0.6,0.6,0.3,-0.2,-0.6
Jalen Duren,72.4,9.2,4.8,4.5,,,,,,,,,
