"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Austin Daye,,2.1,1.6,1.3,0.1,0.0,-0.6
Bol Bol,76.3,2.3,1.6,0.9,0.1,0.1,0.0
Yuta Watanabe,76.0,2.1,1.5,0.7,0.1,-0.1,-0.2
Terry Driscoll,75.8,1.7,1.7,1.5,0.3,0.0,
Chimezie Metu,75.2,2.1,1.5,1.5,0.6,0.3,-0.3
Johnny Baum,74.4,2.0,1.9,1.5,0.4,-0.1,
Jalen McDaniels,73.8,2.7,1.7,1.2,0.5,0.0,-0.8
Cliff Pondexter,73.7,2.2,1.5,1.0,,,
Kevin S̩raphin,73.7,2.3,1.7,0.8,0.2,0.1,-0.2
Bob Brannum,73.4,2.0,1.6,1.1,0.8,0.0,
Russ Schoene,73.4,1.8,1.7,1.3,-0.2,,
