"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jaylin Williams,,3.3,2.4,1.9,,,
Walter Berry,91.3,3.4,2.4,2.3,,,
Jalen Johnson,88.2,3.8,2.4,2.1,0.0,,
Zeke Zawoluk,87.2,3.9,2.5,1.7,,,
Cal Christensen,87.1,3.2,2.9,1.7,0.4,0.0,
Don Boven,84.4,3.8,2.2,1.5,,,
Willie Long,84.0,3.5,2.1,1.2,,,
Mickey Davis,83.5,3.4,2.6,2.3,0.4,0.3,-0.1
Mike Jackson,83.0,3.4,3.1,2.4,0.2,,
Bruce Seals,82.4,2.9,2.4,1.6,0.6,0.3,
Arnie Ferrin,82.1,2.6,2.6,2.4,,,
