"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Robin Lopez,,9.5,5.8,5.6,5.1,4.3,3.7,3.2,2.7,2.1,1.9,1.5,1.5,1.1,0.8,0.6,0.0,,
Danny Schayes,90.0,8.8,6.8,5.6,4.6,4.5,3.9,2.8,2.0,2.0,1.7,1.4,1.4,1.2,0.9,0.6,0.4,0.0,0.0
Olden Polynice,85.5,6.7,5.3,5.2,5.1,4.5,3.3,3.2,2.6,2.5,2.0,2.0,1.6,1.5,1.5,-0.1,,,
Theo Ratliff,83.9,6.8,5.6,5.4,5.2,5.2,4.0,3.9,3.8,2.3,2.0,1.4,1.4,0.8,0.1,0.0,0.0,,
Rich Kelley,83.0,8.6,6.4,4.8,4.3,4.3,4.3,2.5,2.4,2.4,1.7,0.7,,,,,,,
Erick Dampier,82.8,8.9,6.4,6.1,6.0,4.8,4.5,4.1,4.0,3.7,1.9,1.5,0.9,0.3,0.1,-0.1,-0.5,,
Leroy Ellis,82.2,6.4,5.8,4.7,4.3,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6,0.9,,,,
JaVale McGee,82.2,5.9,5.3,4.9,4.9,4.7,4.1,3.5,2.7,2.1,2.0,1.1,1.0,0.7,0.6,0.4,-0.1,,
Mark West,82.2,8.2,6.5,5.5,3.9,3.4,3.1,2.4,1.9,1.8,1.6,1.1,0.9,0.8,0.7,0.2,0.0,-0.1,
Darryl Dawkins,81.7,7.9,6.4,6.3,5.7,4.6,4.4,4.0,2.9,2.1,2.1,0.1,0.1,0.0,-0.2,,,,
Rick Mahorn,81.6,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,2.3,1.8,1.3,1.2,0.9,0.5,0.3,0.1,0.0
