Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2009-10,21,PHO,NBA,C,6.0,6.0,104.0,19.0,35.0,0.543,0.0,0.0,19.0,35.0,0.543,0.543,9.0,9.0,1.0,12.0,12.0,24.0,0.0,2.0,1.0,3.0,11.0,47.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,25,POR,NBA,C,11.0,11.0,367.0,43.0,88.0,0.489,0.0,0.0,43.0,88.0,0.489,0.489,24.0,36.0,0.667,47.0,54.0,101.0,9.0,6.0,20.0,11.0,40.0,110.0,0.0,
2014-15,26,POR,NBA,C,5.0,5.0,117.0,9.0,15.0,0.6,0.0,0.0,9.0,15.0,0.6,0.6,8.0,8.0,1.0,9.0,13.0,22.0,3.0,1.0,5.0,5.0,15.0,26.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,28,CHI,NBA,C,6.0,6.0,162.0,34.0,52.0,0.654,0.0,0.0,34.0,52.0,0.654,0.654,8.0,8.0,1.0,28.0,15.0,43.0,5.0,3.0,6.0,8.0,13.0,76.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,31,MIL,NBA,C,3.0,0.0,21.0,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,
2020-21,32,WAS,NBA,C,5.0,0.0,73.0,18.0,25.0,0.72,0.0,0.0,18.0,25.0,0.72,0.72,1.0,4.0,0.25,4.0,5.0,9.0,0.0,0.0,4.0,1.0,7.0,37.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,34,CLE,NBA,C,2.0,0.0,6.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,38.0,28.0,850.0,129.0,222.0,0.581,0.0,0.0,129.0,222.0,0.581,0.581,52.0,67.0,0.776,101.0,103.0,204.0,17.0,12.0,36.0,29.0,90.0,310.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,60.0,1834.0,278.0,479.0,0.581,0.0,0.0,278.0,479.0,0.581,0.581,112.0,145.0,0.776,218.0,222.0,440.0,37.0,26.0,78.0,63.0,194.0,669.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,16.0,16.0,484.0,52.0,103.0,0.505,0.0,0.0,52.0,103.0,0.505,0.505,32.0,44.0,0.727,56.0,67.0,123.0,12.0,7.0,25.0,16.0,55.0,136.0,0.0,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,6.0,6.0,162.0,34.0,52.0,0.654,0.0,0.0,34.0,52.0,0.654,0.654,8.0,8.0,1.0,28.0,15.0,43.0,5.0,3.0,6.0,8.0,13.0,76.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,6.0,6.0,104.0,19.0,35.0,0.543,0.0,0.0,19.0,35.0,0.543,0.543,9.0,9.0,1.0,12.0,12.0,24.0,0.0,2.0,1.0,3.0,11.0,47.0,0.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,5.0,0.0,73.0,18.0,25.0,0.72,0.0,0.0,18.0,25.0,0.72,0.72,1.0,4.0,0.25,4.0,5.0,9.0,0.0,0.0,4.0,1.0,7.0,37.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,3.0,0.0,21.0,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,2.0,0.0,6.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,
