"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Acie Law,,0.7,0.6,0.4,-0.1
Yakhouba Diawara,90.8,0.7,0.5,0.5,-0.1
Pearl Washington,82.3,0.7,0.7,0.5,
Mike Wilks,81.4,0.7,0.6,0.5,-0.3
Sebastian Telfair,79.5,0.7,0.6,0.5,-0.4
JaKarr Sampson,77.3,0.8,0.6,0.5,0.1
Royal Ivey,75.9,0.7,0.5,0.3,0.2
Dylan Windler,75.5,0.8,0.5,0.3,0.0
Jordan McRae,74.7,0.7,0.5,0.4,0.2
Shawn Respert,72.3,0.8,0.7,0.5,0.1
Skylar Mays,70.3,0.8,0.7,0.4,0.3
