"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jabari Smith,,0.7,0.5,0.2,0.0,
Shawnelle Scott,69.9,0.5,0.4,0.2,0.2,
Mamadou N'Diaye,67.8,0.8,0.6,0.3,0.2,0.0
Stojko VrankoviÄ,67.7,0.9,0.4,0.1,0.0,-0.1
Hamed Haddadi,67.4,0.6,0.6,0.4,0.1,0.0
Olumide Oyedeji,66.4,0.4,0.4,0.3,,
Olivier Sarr,66.2,1.0,0.4,0.2,,
Chris Welp,66.1,0.7,0.3,0.0,,
Kyrylo Fesenko,65.4,0.6,0.3,0.1,0.0,-0.1
Daniel Orton,63.2,0.5,0.3,0.3,,
Keith Closs,62.1,1.1,0.6,0.2,,
