Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2007-08,23,ORL,NBA,C,8.0,0.0,48.0,3.7,4.5,0.833,0.0,0.0,3.7,4.5,0.833,0.833,0.0,0.0,,1.5,4.5,6.0,0.0,0.0,3.0,2.3,3.7,7.5,
2008-09,24,ORL,NBA,PF,24.0,1.0,271.0,4.5,6.9,0.654,0.0,0.0,4.5,6.9,0.654,0.654,1.3,2.1,0.625,2.4,7.7,10.1,0.4,1.2,2.0,1.5,5.2,10.4,
2009-10,25,ORL,NBA,C,14.0,0.0,212.0,2.9,4.4,0.654,0.0,0.0,2.9,4.4,0.654,0.654,1.4,1.9,0.727,4.1,6.5,10.5,1.5,0.5,0.7,0.5,4.9,7.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,29,WAS,NBA,C,11.0,11.0,382.0,5.5,11.1,0.492,0.0,0.0,5.5,11.1,0.492,0.492,2.5,3.9,0.659,3.4,6.9,10.3,1.5,0.5,1.3,1.9,2.1,13.5,
2014-15,30,WAS,NBA,C,10.0,10.0,307.0,6.3,10.1,0.628,0.0,0.0,6.3,10.1,0.628,0.628,1.9,2.8,0.667,3.2,7.2,10.3,2.6,0.7,1.3,1.9,3.4,14.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,32,WAS,NBA,C,13.0,13.0,409.0,4.1,8.2,0.505,0.0,0.0,4.1,8.2,0.505,0.505,1.0,1.6,0.611,4.6,8.0,12.6,2.1,0.4,1.8,1.5,3.5,9.2,
2017-18,33,WAS,NBA,C,6.0,6.0,160.0,5.4,9.7,0.558,0.0,0.0,5.4,9.7,0.558,0.558,0.9,1.6,0.571,2.9,5.6,8.6,1.4,0.0,0.5,1.4,3.4,11.7,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,86.0,41.0,1789.0,4.8,8.5,0.564,0.0,0.0,4.8,8.5,0.564,0.564,1.5,2.4,0.65,3.5,7.1,10.5,1.6,0.6,1.4,1.5,3.6,11.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),,40.0,40.0,1258.0,5.2,9.7,0.538,0.0,0.0,5.2,9.7,0.538,0.538,1.7,2.6,0.644,3.7,7.2,10.8,1.9,0.5,1.3,1.7,3.0,12.1,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,46.0,1.0,531.0,3.8,5.7,0.667,0.0,0.0,3.8,5.7,0.667,0.667,1.2,1.8,0.667,3.0,6.9,9.9,0.8,0.8,1.6,1.2,4.9,8.8,
