Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2007-08,23,ORL,NBA,C,8.0,0.0,48.0,5.7,6.9,0.833,0.0,0.0,5.7,6.9,0.833,0.833,0.0,0.0,,2.3,6.9,9.1,0.0,0.0,4.6,3.4,5.7,11.4,107.0,108.0,
2008-09,24,ORL,NBA,PF,24.0,1.0,271.0,6.8,10.3,0.654,0.0,0.0,6.8,10.3,0.654,0.654,2.0,3.2,0.625,3.6,11.5,15.1,0.6,1.8,3.0,2.2,7.7,15.5,119.0,100.0,
2009-10,25,ORL,NBA,C,14.0,0.0,212.0,4.4,6.8,0.654,0.0,0.0,4.4,6.8,0.654,0.654,2.1,2.9,0.727,6.3,9.9,16.2,2.4,0.8,1.0,0.8,7.6,11.0,152.0,101.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,29,WAS,NBA,C,11.0,11.0,382.0,8.3,16.9,0.492,0.0,0.0,8.3,16.9,0.492,0.492,3.9,5.9,0.659,5.2,10.4,15.6,2.3,0.7,2.0,2.9,3.1,20.5,106.0,101.0,
2014-15,30,WAS,NBA,C,10.0,10.0,307.0,8.9,14.2,0.628,0.0,0.0,8.9,14.2,0.628,0.628,2.6,4.0,0.667,4.5,10.1,14.5,3.6,1.0,1.8,2.6,4.8,20.5,122.0,100.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,32,WAS,NBA,C,13.0,13.0,409.0,5.7,11.3,0.505,0.0,0.0,5.7,11.3,0.505,0.505,1.3,2.2,0.611,6.3,11.0,17.4,2.9,0.6,2.4,2.1,4.9,12.7,114.0,109.0,
2017-18,33,WAS,NBA,C,6.0,6.0,160.0,7.4,13.3,0.558,0.0,0.0,7.4,13.3,0.558,0.558,1.2,2.2,0.571,4.0,7.7,11.7,1.9,0.0,0.6,1.9,4.6,16.0,112.0,116.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,86.0,41.0,1789.0,7.0,12.4,0.564,0.0,0.0,7.0,12.4,0.564,0.564,2.2,3.4,0.65,5.0,10.3,15.3,2.3,0.8,2.0,2.2,5.2,16.2,117.0,104.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),,40.0,40.0,1258.0,7.5,13.9,0.538,0.0,0.0,7.5,13.9,0.538,0.538,2.4,3.7,0.644,5.2,10.2,15.4,2.8,0.7,1.9,2.4,4.3,17.3,113.0,106.0,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,46.0,1.0,531.0,5.8,8.6,0.667,0.0,0.0,5.8,8.6,0.667,0.667,1.8,2.8,0.667,4.5,10.5,15.0,1.2,1.2,2.4,1.7,7.5,13.4,129.0,101.0,
