"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Daequan Cook,,2.2,1.6,1.6,0.1,-0.2,-0.4,
Gary Brokaw,86.2,1.9,1.6,1.6,0.1,,,
Gabe Vincent,78.6,2.5,1.4,1.3,0.2,-0.1,-0.2,
Tom Garrick,77.5,2.5,1.8,1.4,0.2,,,
Dick Garrett,75.7,2.4,2.3,1.6,0.1,-0.2,,
Jonathon Simmons,75.0,2.0,2.0,1.9,0.3,,,
Kenny Higgs,74.5,2.2,1.5,1.0,,,,
Leon Wood,72.6,2.2,2.0,1.9,0.6,0.3,-0.2,
James Robinson,71.6,2.3,1.9,1.2,0.2,0.2,0.0,-0.1
Davion Mitchell,70.9,3.0,1.5,1.3,0.1,,,
Hamidou Diallo,69.9,2.1,1.6,1.3,0.8,0.4,0.0,
