"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2003-04,18,DET,NBA,EC1,MIL,W (4-1),2.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
2003-04,18,DET,NBA,ECS,NJN,W (4-3),3.0,1.7,0.0,0.3,0.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,
2003-04,18,DET,NBA,FIN,LAL,W (4-1),3.0,1.3,0.0,0.7,0.0,0.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,
2004-05,19,DET,NBA,EC1,PHI,W (4-1),2.0,3.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,
2004-05,19,DET,NBA,ECS,IND,W (4-2),2.0,3.5,1.5,0.5,0.5,0.0,0.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,
2004-05,19,DET,NBA,ECF,MIA,W (4-3),2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004-05,19,DET,NBA,FIN,SAS,L (3-4),3.0,2.3,0.7,0.7,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,21,ORL,NBA,EC1,DET,L (0-4),4.0,28.8,12.3,4.5,1.0,0.3,1.0,20.0,34.0,0.588,0.0,0.0,20.0,34.0,0.588,0.588,9.0,17.0,0.529,10.0,8.0,18.0,4.0,1.0,4.0,2.0,9.0,49.0,
3 Yrs (8 Series),3 Yrs (8 Series),3 Yrs (8 Series),3 Yrs (8 Series),3 Yrs (8 Series),3 Yrs (8 Series),6-2,21.0,7.2,2.6,1.2,0.3,0.1,0.2,22.0,45.0,0.489,0.0,0.0,22.0,45.0,0.489,0.489,11.0,22.0,0.5,12.0,13.0,25.0,6.0,2.0,5.0,6.0,13.0,55.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),2-1,8.0,15.6,6.3,2.4,0.5,0.1,0.6,20.0,35.0,0.571,0.0,0.0,20.0,35.0,0.571,0.571,10.0,19.0,0.526,10.0,9.0,19.0,4.0,1.0,5.0,4.0,10.0,50.0,
ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),2-0,5.0,2.4,0.6,0.4,0.4,0.0,0.0,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,
ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),1-0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FIN (2 Series),FIN (2 Series),FIN (2 Series),FIN (2 Series),FIN (2 Series),FIN (2 Series),1-1,6.0,1.8,0.3,0.7,0.0,0.2,0.0,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,0.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,
