Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,25.0,CHI,NBA,SG,1.0,0,9:13,3,4,0.75,0,1,0.0,0,0,,1,1,1,2,0,2,0,6
2015-16,26.0,CHI,NBA,SG,,0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
2016-17,27.0,CHI,NBA,SF,1.0,1,19:29,3,4,0.75,0,1,0.0,0,0,,0,3,2,1,0,1,0,6
2017-18,28.0,MIN,NBA,SG,,0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
2019-20,30.0,MIA,NBA,SF,1.0,0,12:55,2,2,1.0,0,0,,0,0,,2,3,2,2,0,4,0,4
2021-22,32.0,MIA,NBA,SF,1.0,0,9:20,1,2,0.5,0,1,0.0,0,0,,0,0,1,2,0,0,0,2
Career,,,NBA,,4.0,1,51,9,12,0.75,0,3,0.0,0,0,,3,7,6,7,0,7,0,18
