"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Troy Brown Jr.,,2.9,2.4,1.4,0.8,0.6,0.5
Wes Matthews,89.7,3.0,2.6,1.6,1.3,0.7,0.4
Rodney McGruder,86.8,2.9,1.9,1.2,1.0,0.8,0.5
Anthony Bowie,86.4,2.9,2.5,2.0,1.3,0.7,0.5
Greg Minor,85.5,3.0,2.1,1.7,0.8,0.6,
Glenn Robinson III,85.4,2.9,2.5,0.8,0.7,0.6,0.1
Rick Adelman,84.9,3.4,2.2,1.6,0.7,0.7,0.1
Butch Carter,84.5,3.0,2.6,1.3,0.9,0.9,-0.2
Aaron Holiday,84.1,2.5,2.1,1.5,0.9,0.9,0.2
Garrison Mathews,83.9,2.8,2.3,1.6,1.5,1.0,0.6
Sam Vincent,83.9,3.3,2.4,2.3,0.9,0.5,0.3
