"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2021-22,22,CHI,NBA,EC1,MIL,L (1-4),3.0,12.3,4.0,2.7,1.0,0.7,0.0,5.0,17.0,0.294,2.0,11.0,0.182,3.0,6.0,0.5,0.353,0.0,0.0,1.0,7.0,8.0,3.0,2.0,0.0,3.0,2.0,12.0,
2022-23,23,LAL,NBA,WC1,MEM,W (4-2),6.0,14.7,1.8,3.0,1.2,0.3,0.2,5.0,16.0,0.313,1.0,11.0,0.091,4.0,5.0,0.8,0.344,0.0,0.0,2.0,16.0,18.0,7.0,2.0,1.0,0.0,2.0,11.0,
2022-23,23,LAL,NBA,WCS,GSW,W (4-2),5.0,7.2,1.8,1.0,0.8,0.0,0.0,4.0,10.0,0.4,1.0,3.0,0.333,3.0,7.0,0.429,0.45,0.0,0.0,1.0,4.0,5.0,4.0,0.0,0.0,0.0,2.0,9.0,
2022-23,23,LAL,NBA,WCF,DEN,L (0-4),1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
2 Yrs (4 Series),2 Yrs (4 Series),2 Yrs (4 Series),2 Yrs (4 Series),2 Yrs (4 Series),2 Yrs (4 Series),2-2,15.0,10.8,2.3,2.1,0.9,0.3,0.1,15.0,45.0,0.333,4.0,26.0,0.154,11.0,19.0,0.579,0.378,0.0,0.0,5.0,27.0,32.0,14.0,4.0,1.0,3.0,6.0,34.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),1-0,6.0,14.7,1.8,3.0,1.2,0.3,0.2,5.0,16.0,0.313,1.0,11.0,0.091,4.0,5.0,0.8,0.344,0.0,0.0,2.0,16.0,18.0,7.0,2.0,1.0,0.0,2.0,11.0,
EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),0-1,3.0,12.3,4.0,2.7,1.0,0.7,0.0,5.0,17.0,0.294,2.0,11.0,0.182,3.0,6.0,0.5,0.353,0.0,0.0,1.0,7.0,8.0,3.0,2.0,0.0,3.0,2.0,12.0,
WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),1-0,5.0,7.2,1.8,1.0,0.8,0.0,0.0,4.0,10.0,0.4,1.0,3.0,0.333,3.0,7.0,0.429,0.45,0.0,0.0,1.0,4.0,5.0,4.0,0.0,0.0,0.0,2.0,9.0,
WCF (1 Series),WCF (1 Series),WCF (1 Series),WCF (1 Series),WCF (1 Series),WCF (1 Series),0-1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
