"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Julian Wright,,1.7,0.8,0.8,0.6,,
Byron Houston,89.1,1.8,0.9,0.7,0.5,,
Bob Portman,83.2,1.9,1.2,0.8,0.5,,
Timoth̩ Luwawu-Cabarrot,82.3,1.7,0.9,0.8,0.8,0.3,0.2
Jarell Martin,82.3,1.3,0.8,0.6,0.5,,
D.J. White,81.9,1.8,0.8,0.6,0.4,0.2,0.0
Yi Jianlian,78.5,1.3,0.7,0.7,0.4,0.0,
Nassir Little,78.4,1.7,1.1,0.7,0.7,0.6,
Bruno Fernando,78.1,1.5,0.9,0.8,0.4,0.3,-0.1
Thomas Robinson,77.8,1.6,1.5,0.9,0.6,-0.1,
Joe Kopicki,76.1,1.9,0.9,0.7,,,
