"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Obi Toppin,,4.8,4.3,3.9,2.1,1.5,,
Bob Harris,91.4,5.0,4.3,3.4,1.9,1.0,,
Isaiah Stewart,90.8,4.3,4.0,3.4,2.0,1.7,,
DeJuan Blair,87.1,4.8,4.6,4.0,3.4,2.2,0.1,-0.1
Paul Griffin,85.7,4.9,4.4,4.1,2.9,1.6,1.4,0.4
Cornell Warner,85.3,4.7,4.3,3.5,1.7,0.6,0.6,0.3
Jared Sullinger,85.2,4.8,4.0,3.9,2.7,-0.1,,
Jaden McDaniels,84.8,6.3,4.4,3.4,2.4,1.4,,
Bill Calhoun,84.7,4.5,4.1,3.9,2.2,2.1,1.4,0.4
Scott May,84.5,5.4,4.2,3.1,2.4,2.2,0.1,-0.1
Chuck Gilmur,84.3,4.6,4.5,4.3,1.7,-0.1,,
