"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Tyler Hansbrough,,4.4,3.9,3.8,3.4,3.0,1.0,0.7,,,,
Hakim Warrick,94.2,4.7,4.0,3.7,3.4,3.3,0.8,0.5,0.0,,,
Jan van Breda Kolff,91.8,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,,
Dave Stallworth,90.7,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0.0,,,
Popeye Jones,89.3,4.3,4.2,3.7,3.6,3.6,1.2,0.6,0.5,0.3,0.0,0.0
Jaxson Hayes,87.4,5.1,3.9,3.7,3.5,2.5,1.5,,,,,
Alvin Scott,87.3,4.4,4.3,4.0,3.8,2.9,1.7,1.2,0.8,,,
Len Chappell,87.2,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,
Terry Catledge,86.2,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,,,
Willie Norwood,85.5,3.8,3.5,3.3,3.0,2.6,1.1,0.5,,,,
Ron Anderson,85.1,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,
