Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,26.0,CLE,NBA,PG,1,0,16:42,5,10,0.5,2,5,0.4,0,0,,1,2,5,0,0,2,0,12
Career,,,NBA,,1,0,17,5,10,0.5,2,5,0.4,0,0,,1,2,5,0,0,2,0,12
