"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Miles Plumlee,,4.0,2.6,2.2,0.9,0.5,0.5,0.0,,,
Carlos Rogers,86.7,4.0,2.2,2.0,0.9,0.9,0.5,0.5,0.0,,
George Peeples,80.5,4.1,3.2,2.1,1.5,0.2,0.0,,,,
Ekpe Udoh,79.7,3.2,2.7,2.1,1.6,0.7,0.3,0.0,,,
Steven Hunter,78.7,2.8,2.6,2.5,1.0,0.9,0.6,0.1,0.1,,
Chris Mihm,78.3,4.0,3.6,2.9,1.3,0.9,0.7,0.1,0.0,,
Marc Jackson,78.2,4.6,2.6,2.0,1.3,1.2,0.7,0.6,,,
Manute Bol,77.2,3.9,2.4,2.0,1.7,1.3,0.8,0.2,0.1,0.0,-0.2
Cherokee Parks,76.7,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0.0,
Victor Alexander,76.4,3.0,2.5,2.3,1.1,-0.1,,,,,
Bob Hopkins,76.4,3.5,2.7,1.9,1.4,,,,,,
