"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 24_level_0', 'Awards')"
2012-13,24,IND,NBA,C,14.0,0.0,55.0,0.238,0.238,0.238,0.75,0.286,0.19,0.0,53.0,49.0,48.0,100.0,53.0,70.0,0.0,-10.8,-11.3,
2013-14,25,PHO,NBA,C,80.0,79.0,1964.0,0.517,0.517,0.517,0.561,0.529,0.239,0.0,114.0,106.0,103.0,74.0,98.0,84.0,0.0,17.8,-15.0,
2014-15,26,2TM,NBA,C,73.0,28.0,1194.0,0.535,0.535,0.535,0.478,0.536,0.181,0.0,119.0,110.0,108.0,64.0,100.0,66.0,0.0,20.1,1.0,
2014-15,26,PHO,NBA,C,54.0,28.0,1005.0,0.549,0.549,0.549,0.5,0.55,0.195,0.0,122.0,113.0,111.0,67.0,103.0,71.0,0.0,20.6,6.8,
2014-15,26,MIL,NBA,C,19.0,0.0,189.0,0.492,0.492,0.492,0.375,0.488,0.136,0.0,109.0,101.0,99.0,50.0,91.0,50.0,0.0,-0.5,-5.8,
2015-16,27,MIL,NBA,C,61.0,14.0,870.0,0.601,0.601,0.601,0.576,0.606,0.253,0.0,133.0,122.0,120.0,76.0,112.0,92.0,0.0,45.8,33.7,
2016-17,28,2TM,NBA,C,45.0,12.0,484.0,0.478,0.478,0.478,0.641,0.518,0.424,0.0,105.0,95.0,93.0,83.0,94.0,157.0,0.0,-6.6,-7.6,
2016-17,28,MIL,NBA,C,32.0,12.0,310.0,0.441,0.441,0.441,0.629,0.492,0.515,0.0,96.0,88.0,86.0,81.0,89.0,190.0,0.0,-9.9,-10.1,
2016-17,28,CHO,NBA,C,13.0,0.0,174.0,0.583,0.583,0.583,0.75,0.602,0.167,0.0,128.0,116.0,114.0,97.0,109.0,62.0,0.0,3.3,2.5,
2017-18,29,ATL,NBA,C,55.0,35.0,918.0,0.583,0.583,0.583,0.45,0.574,0.333,0.0,127.0,114.0,112.0,59.0,103.0,132.0,0.0,22.4,7.4,
2018-19,30,ATL,NBA,C,18.0,0.0,173.0,0.667,0.667,0.667,0.533,0.654,0.625,0.0,145.0,128.0,127.0,70.0,117.0,242.0,0.0,13.7,11.5,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,346.0,168.0,5658.0,0.542,0.542,0.542,0.543,0.55,0.268,0.0,119.0,110.0,107.0,72.0,101.0,98.0,0.0,102.4,19.7,
,,,,,,,,,,,,,,,,,,,,,,,,
MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),,112.0,26.0,1369.0,0.553,0.553,0.553,0.578,0.564,0.283,0.0,122.0,112.0,110.0,76.0,104.0,103.0,0.0,35.4,17.8,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,134.0,107.0,2969.0,0.525,0.525,0.525,0.547,0.534,0.227,0.0,116.0,108.0,105.0,72.0,99.0,81.0,0.0,38.4,-8.2,
ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,73.0,35.0,1091.0,0.601,0.601,0.601,0.478,0.592,0.395,0.0,131.0,117.0,115.0,62.0,106.0,155.0,0.0,36.1,18.9,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,14.0,0.0,55.0,0.238,0.238,0.238,0.75,0.286,0.19,0.0,53.0,49.0,48.0,100.0,53.0,70.0,0.0,-10.8,-11.3,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,13.0,0.0,174.0,0.583,0.583,0.583,0.75,0.602,0.167,0.0,128.0,116.0,114.0,97.0,109.0,62.0,0.0,3.3,2.5,
