Highlight,Unnamed: 1,In Stathead
"Career high, Points",10.0,View full stats from top 20 games
"Career high, Rebounds",2.0,View full stats from top 20 games
"Career high, Assists",3.0,View full stats from top 20 games
"Career high, Game Score",8.3,View full stats from top 20 games
