0
Active 36161 (9th)
Career 36161 (75th)
Career NBA 36161 (71st)
Career Playoffs 6643 (21st)
Career NBA Playoffs 6643 (20th)
Career (Reg+Playoffs) 42804 (53rd)
Career NBA (Reg+Playoffs) 42804 (50th)
