"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Jordan Crawford,,2.8,1.9,1.1,0.9,0.2,-0.6,,
Furkan Korkmaz,81.5,2.8,2.0,1.2,1.1,0.4,0.1,0.0,
Jeff Judkins,80.0,3.0,1.8,0.7,0.6,0.2,,,
Hollis Thompson,80.0,2.6,2.0,1.2,0.7,,,,
Rumeal Robinson,79.7,2.4,1.9,1.0,0.5,-0.1,-0.6,,
Mike Barr,78.3,2.7,1.7,1.4,0.7,0.4,,,
Claude Terry,77.0,2.4,1.8,1.0,1.0,0.8,0.0,,
Yogi Ferrell,74.7,3.0,1.9,1.8,0.7,0.3,,,
Tim Frazier,74.4,2.4,2.0,1.4,1.0,0.1,-0.1,-0.2,-0.2
Travis Diener,73.1,2.5,1.9,0.7,0.6,0.0,,,
Butch Carter,72.6,3.0,2.6,1.3,0.9,0.9,-0.2,,
