"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Dillon Brooks,,5.1,2.7,1.6,1.6,1.4,1.2,1.2,0.0
Tim Perry,87.2,5.7,2.6,2.0,1.4,1.4,1.2,0.3,-0.1
Rasual Butler,83.6,4.6,2.7,2.6,1.7,1.7,1.6,1.2,0.1
Alex Hannum,83.5,5.1,2.1,1.7,1.7,1.6,0.5,0.4,0.0
Jon Leuer,83.3,4.5,2.7,2.0,1.4,1.3,0.9,0.2,0.1
Travis Outlaw,83.0,5.3,3.2,2.3,1.4,0.9,0.9,0.8,0.0
Ed Nealy,81.7,4.7,2.0,1.9,1.5,1.3,1.2,0.4,0.3
Samaki Walker,80.7,5.3,2.1,2.0,1.9,1.4,0.7,0.6,0.5
James Bailey,80.5,4.9,2.9,2.3,2.0,1.9,1.0,0.6,0.3
Ed Manning,80.3,4.3,2.2,2.2,1.7,1.5,1.4,1.4,-0.3
Etan Thomas,80.2,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.1
