"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Ray McCallum,,1.4,0.4,0.3
Nik Stauskas,86.4,1.4,0.5,0.5
Terence Stansbury,85.4,1.5,0.6,0.3
Elston Turner,85.2,1.4,0.3,0.1
Anthony Johnson,84.6,1.1,0.4,0.3
Vonteego Cummings,83.7,1.3,0.6,0.2
Luguentz Dort,79.6,1.4,0.8,0.3
Matt Thomas,79.1,1.2,0.6,0.2
D'Angelo Russell,78.9,1.3,0.4,0.0
John Warren,78.7,1.7,0.5,0.3
Avery Johnson,78.6,1.6,0.5,0.3
