Season,Team,Lg,Salary
2012-13,Portland Trail Blazers,NBA,"$550,000"
2013-14,Portland Trail Blazers,NBA,"$788,872"
2014-15,Denver Nuggets,NBA,"$915,243"
2015-16,Denver Nuggets,NBA,"$3,333,333"
2016-17,Denver Nuggets,NBA,"$3,533,333"
2017-18,Denver Nuggets,NBA,"$3,533,333"
2018-19,Denver Nuggets,NBA,"$11,830,358"
2019-20,Denver Nuggets,NBA,"$12,776,786"
2020-21,Denver Nuggets,NBA,"$13,723,214"
2021-22,Denver Nuggets,NBA,"$15,625,000"
2022-23,Washington Wizards,NBA,"$14,375,000"
2022-23,Toronto Raptors,NBA,"$432,642"
Career,(may be incomplete),,"$81,417,114"
