"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Keita Bates-Diop,,2.7,1.6,1.3,1.2,0.3,0.3
Sam Mack,88.5,2.8,1.9,1.3,1.1,0.3,0.0
Rory White,86.6,2.6,1.5,1.0,1.0,0.4,
George Lee,86.3,2.6,1.7,1.2,0.6,0.4,0.1
Steve Kuberski,86.0,2.6,1.7,1.7,1.2,0.6,0.2
Jericho Sims,86.0,2.6,1.5,1.5,1.3,,
Jeremy Evans,85.0,2.8,1.6,1.3,0.9,0.9,0.6
Jud Buechler,84.9,2.3,1.8,1.5,1.2,0.5,0.4
Mark Madsen,84.9,2.7,1.9,1.1,1.1,0.8,0.6
Marty Conlon,84.3,3.1,1.8,1.4,1.0,0.6,0.3
Jeff Ayres,84.2,2.4,1.3,1.2,1.0,0.3,0.2
