"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2006-07,21,MIA,NBA,SF,1.0,0.0,1.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,23,MIA,NBA,SF,1.0,0.0,3.0,,,,,,,,,,,,,,,,,
2009-10,24,MIA,NBA,SF,5.0,0.0,112.0,0.36,0.412,0.25,0.4,1.0,0.46,0.2,0.32,78.0,84.0,71.0,80.0,132.0,85.0,67.0,144.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,28,POR,NBA,SF,8.0,0.0,88.0,0.368,0.429,0.333,0.474,0.733,0.566,0.789,0.632,81.0,88.0,93.0,95.0,97.0,105.0,278.0,243.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,30,MIA,NBA,SF,5.0,0.0,19.0,0.5,0.6,0.4,0.6,1.0,0.68,0.4,0.5,111.0,122.0,113.0,119.0,132.0,126.0,145.0,176.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,20.0,0.0,223.0,0.389,0.448,0.32,0.463,0.833,0.542,0.444,0.463,85.0,91.0,90.0,92.0,110.0,100.0,155.0,185.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),,12.0,0.0,135.0,0.4,0.455,0.308,0.457,1.0,0.526,0.257,0.371,87.0,92.0,87.0,91.0,132.0,97.0,89.0,153.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,8.0,0.0,88.0,0.368,0.429,0.333,0.474,0.733,0.566,0.789,0.632,81.0,88.0,93.0,95.0,97.0,105.0,278.0,243.0,
