Highlight,Unnamed: 1,In Stathead
"Career high, Points",16.0,View full stats from top 20 games
"Career high, Rebounds",8.0,View full stats from top 20 games
"Career high, Assists",5.0,View full stats from top 20 games
"Career high, Steals",3.0,View full stats from top 20 games
"Career high, Blocks",2.0,View full stats from top 20 games
"Career high, Game Score",13.0,View full stats from top 20 games
