Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2023-24,24,ORL,NBA,C,2,0,10,0.0,10.1,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,5.1,10.1,15.2,10.1,0.0,0.0,5.1,0.0,0.0,52,105,
2024-25,25,ORL,NBA,C,3,0,11,4.8,4.8,1.0,0.0,0.0,4.8,4.8,1.0,1.0,0.0,0.0,0.0,14.4,14.4,4.8,0.0,4.8,0.0,28.8,9.6,205,110,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,5,0,21,2.5,7.4,0.333,0.0,0.0,2.5,7.4,0.333,0.333,0.0,0.0,2.5,12.3,14.8,7.4,0.0,2.5,2.5,14.8,4.9,87,108,
