Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2023-24,24,ORL,NBA,C,2,0,10,0.0,7.2,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,3.6,7.2,10.8,7.2,0.0,0.0,3.6,0.0,0.0,
2024-25,25,ORL,NBA,C,3,0,11,3.3,3.3,1.0,0.0,0.0,3.3,3.3,1.0,1.0,0.0,0.0,0.0,9.8,9.8,3.3,0.0,3.3,0.0,19.6,6.5,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,5,0,21,1.7,5.1,0.333,0.0,0.0,1.7,5.1,0.333,0.333,0.0,0.0,1.7,8.6,10.3,5.1,0.0,1.7,1.7,10.3,3.4,
