"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Monte Morris,,6.2,5.4,4.2,3.8,2.9,1.2,0.8,0.2
Willie Anderson,89.5,6.5,5.6,4.9,4.8,3.3,1.4,0.7,-0.1
Craig Hodges,89.5,6.0,5.3,4.3,2.9,2.6,2.4,0.8,0.5
Luke Ridnour,89.5,6.2,5.4,4.4,4.0,3.4,2.3,1.2,0.9
Raja Bell,89.1,6.8,5.8,4.5,3.7,2.2,1.7,1.1,-0.1
Frank Selvy,89.0,5.9,5.5,4.1,3.6,2.4,2.3,0.6,-0.6
Charlie Ward,88.8,7.1,5.5,3.9,3.6,3.1,1.9,1.0,-0.2
Bob Weiss,88.7,5.6,4.7,4.3,3.6,2.9,1.7,0.1,0.0
Ramon Sessions,88.6,5.6,4.4,4.3,3.7,2.9,1.1,1.1,0.7
Hubert Davis,88.3,5.6,4.8,4.2,3.4,2.5,1.6,1.2,0.1
Delonte West,88.2,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9
