"('Thru 16 Years', 'Player')","('Thru 16 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
JaVale McGee,,5.9,5.3,4.9,4.9,4.7,4.1,3.5,2.7,2.1,2.0,1.1,1.0,0.7,0.6,0.4,-0.1
Olden Polynice,88.9,6.7,5.3,5.2,5.1,4.5,3.3,3.2,2.6,2.5,2.0,2.0,1.6,1.5,1.5,-0.1,
Theo Ratliff,88.7,6.8,5.6,5.4,5.2,5.2,4.0,3.9,3.8,2.3,2.0,1.4,1.4,0.8,0.1,0.0,0.0
Dave Corzine,87.5,5.2,5.1,4.9,4.7,4.2,4.0,2.9,2.9,1.4,1.1,0.9,0.4,-0.2,,,
Channing Frye,87.0,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3.0,2.1,1.5,0.9,0.8,0.1,,,
Kelly Olynyk,86.6,5.5,5.1,4.9,4.7,4.3,4.1,4.1,3.7,3.6,2.9,1.7,1.6,,,,
Chris Andersen,85.9,6.0,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.3,1.1,0.3,0.2,0.0,
Rick Mahorn,85.9,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,2.3,1.8,1.3,1.2,0.5,0.3,0.1
Ervin Johnson,85.7,6.4,5.2,5.1,4.9,3.9,3.0,2.3,2.3,1.9,1.3,0.8,0.7,0.0,,,
Leroy Ellis,85.4,6.4,5.8,4.7,4.3,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6,0.9,,
Rasho NesteroviÄ,85.1,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3.0,2.2,1.5,0.8,0.0,,,,
