"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Zoran PlaniniÄ,,0.8,0.7,0.1,,
Carlos Terry,86.1,0.8,0.8,-0.1,,
Chasson Randle,85.9,0.7,0.6,0.0,0.0,
Tarence Kinsey,85.0,0.9,0.6,0.0,,
Tony Bennett,84.3,0.9,0.7,0.0,,
LaBradford Smith,84.2,0.8,0.8,-0.1,,
Litterial Green,82.2,0.8,0.8,0.1,0.0,-0.1
Charlie Davis,81.6,0.8,0.7,-0.1,,
Phil Rollins,78.9,1.1,0.7,0.1,,
Kira Lewis Jr.,76.1,0.9,0.6,0.0,-0.1,
Chris Duarte,75.0,0.9,0.7,0.3,0.0,
