"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2003-04,25,MIL,NBA,C,1.0,0.0,9.0,0.5,0.5,0.5,0.0,0.45,0.25,0.0,114.0,109.0,106.0,0.0,87.0,82.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2005-06,27,MIL,NBA,C,4.0,0.0,16.0,0.889,0.889,0.889,0.5,0.86,0.222,0.0,196.0,186.0,181.0,67.0,161.0,67.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2009-10,31,MIL,NBA,C,7.0,0.0,76.0,0.529,0.529,0.529,0.25,0.506,0.235,0.0,115.0,108.0,106.0,33.0,93.0,78.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,12.0,0.0,101.0,0.633,0.633,0.633,0.286,0.605,0.233,0.0,140.0,131.0,128.0,38.0,113.0,75.0,0.0,
