Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2010-11,25,IND,NBA,PF,5.0,5.0,32.8,4.0,12.0,0.333,0.0,0.0,4.0,12.0,0.333,0.333,3.2,3.6,0.889,2.6,2.8,5.4,1.0,1.2,0.0,1.8,2.6,11.2,
2011-12,26,IND,NBA,PF,11.0,0.0,14.9,1.5,4.5,0.34,0.0,0.0,1.5,4.5,0.34,0.34,1.3,1.9,0.667,1.1,2.1,3.2,0.5,0.5,0.3,0.7,2.0,4.4,
2012-13,27,IND,NBA,PF,19.0,0.0,12.7,1.4,3.3,0.419,0.0,0.0,1.4,3.3,0.419,0.419,1.4,2.3,0.591,1.9,1.3,3.2,0.3,0.3,0.0,0.8,2.2,4.1,
2013-14,28,TOR,NBA,PF,3.0,0.0,9.7,0.3,1.0,0.333,0.0,0.0,0.3,1.0,0.333,0.333,1.7,2.0,0.833,0.7,1.3,2.0,0.3,0.0,0.0,0.7,2.7,2.3,
2014-15,29,TOR,NBA,PF,4.0,2.0,12.0,0.3,1.3,0.2,0.0,0.0,0.3,1.3,0.2,0.2,0.8,1.0,0.75,0.3,1.3,1.5,0.8,0.5,0.3,0.5,2.0,1.3,
2015-16,30,CHO,NBA,PF,2.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,44.0,7.0,14.8,1.5,4.1,0.361,0.0,0.0,1.5,4.1,0.361,0.361,1.5,2.1,0.688,1.5,1.6,3.1,0.5,0.4,0.1,0.8,2.1,4.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,35.0,5.0,16.3,1.8,4.9,0.366,0.0,0.0,1.8,4.9,0.366,0.366,1.6,2.4,0.675,1.7,1.8,3.5,0.5,0.5,0.1,0.9,2.2,5.2,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,7.0,2.0,11.0,0.3,1.1,0.25,0.0,0.0,0.3,1.1,0.25,0.25,1.1,1.4,0.8,0.4,1.3,1.7,0.6,0.3,0.1,0.6,2.3,1.7,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,2.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
