Season,Team,Lg,Salary
2013-14,Orlando Magic,NBA,"$4,763,760"
2014-15,Orlando Magic,NBA,"$4,978,200"
2015-16,Orlando Magic,NBA,"$5,192,520"
2016-17,Oklahoma City Thunder,NBA,"$6,552,960"
2017-18,Indiana Pacers,NBA,"$21,000,000"
2018-19,Indiana Pacers,NBA,"$21,000,000"
2019-20,Indiana Pacers,NBA,"$21,000,000"
2020-21,Miami Heat,NBA,"$21,000,000"
2021-22,Miami Heat,NBA,"$2,389,641"
2022-23,Miami Heat,NBA,"$8,750,000"
2023-24,Memphis Grizzlies,NBA,"$9,450,000"
Career,(may be incomplete),,"$126,077,081"
